Aguirre|18.1209|-66.1684
Ah Gwah Ching|47.0648|-94.5988
Ahmeek|47.3312|-88.4457
Ahoskie|36.2793|-76.985
Ahsahka|46.5074|-116.3187
Ahwahnee|37.3813|-119.7248
Aibonito|18.1403|-66.2674
Aiea|21.3885|-157.9334
Aiken|33.5462674626|-81.712511069
Aiken|34.1512|-101.5424
Ailey|32.1813|-82.5091
Aimwell|31.7602|-92.0002
Ainsworth|41.325|-91.5474
Ainsworth|42.5474|-99.8598
Airville|39.8048|-76.4075
Airway Heights|47.6384|-117.5777
Aitkin|46.5076|-93.6756
Ajo|32.3778|-112.8646
Akaska|45.3316|-100.1208
Akeley|46.9679|-94.7867
Akers|30.1672|-90.4228
Akiachak|60.8744|-161.4051
Akiak|60.8943|-161.2355
Akin|38.0101|-88.6821
Akron|32.8552|-87.7307
Akron|40.1136|-103.1924
Akron|42.8251|-96.5125
Akron|41.0469|-86.0309
Akron|43.587|-83.5451
Akron|43.0209|-78.5084
Akron|41.0734077064|-81.5337930686
Akron|40.1569|-76.2047
Akutan|54.1327|-165.4527
Alabaster|33.234|-86.8153
Alachua|29.7886293333|-82.4910581538
Aladdin|44.6904|-104.176
Alakanuk|62.6802|-164.6599
Alamance|36.0037|-79.4836
Alameda|37.7657973082|-122.258861553
Alamo|37.8546|-122.0194
Alamo|32.181|-82.8129
Alamo|39.9834|-87.0556
Alamo|48.5959|-103.488
Alamo|37.635|-115.7257
Alamo|35.8021|-89.1451
Alamo|26.1849|-98.1176
Alamogordo|32.8974074728|-105.951036087
Alamosa|37.4704846626|-105.876920859
Alanreed|35.2138|-100.7345
Alanson|45.4396|-84.7816
Alapaha|31.3919|-83.1738
Alba|44.9884|-84.9703
Alba|37.2362|-94.418
Alba|41.7059|-76.8277
Alba|32.7887|-95.6312
Albany|37.8901|-122.2966
Albany|31.575861155|-84.1648079161
Albany|41.7659|-90.2137
Albany|40.2891|-85.2556
Albany|36.6988|-85.1422
Albany|30.5161|-90.5916
Albany|45.6334|-94.5768
Albany|40.2477|-94.3313
Albany|42.6870338465|-73.7989493757
Albany|39.2106|-82.2218
Albany|33.8207|-96.1969
Albany|44.6327203166|-123.099726253
Albany|32.7424|-99.2767
Albany|44.7514|-72.3601
Albany|42.7195|-89.4419
Albemarle|35.3496126123|-80.2015848106
Albers|38.5118|-89.614
Albert|38.4289|-99.0049
Albert|35.2407|-98.4251
Alberta|32.1398|-87.3432
Alberta|45.5684|-96.0493
Alberta|36.8715|-77.9215
Albert City|42.7631|-94.9657
Albert Lea|43.6546|-93.3702
Alberton|46.959|-114.4917
Albertson|35.1047|-77.8169
Albertson|40.77|-73.6508
Albertville|34.2671854839|-86.2312862903
Albertville|45.2387|-93.6634
Albia|41.0263|-92.8041
Albin|41.4046|-104.2335
Albion|39.2104|-123.7466
Albion|42.1277|-93.0148
Albion|42.3931|-113.6179
Albion|38.3785|-88.0591
Albion|41.3703|-85.4375
Albion|44.5166|-69.4395
Albion|42.2594|-84.7505
Albion|41.6892|-98.0033
Albion|43.2424|-78.2018
Albion|34.5302|-95.1821
Albion|41.8825403922|-80.37292
Albion|41.9137|-71.449
Albion|46.7908|-117.2524
Alborn|46.9805|-92.61
Albright|39.4961|-79.642
Albrightsville|40.9851|-75.5292
Albuquerque|35.1084708796|-106.61311146
Alburg|44.9496|-73.28
Alburnett|42.1558|-91.6359
Alburtis|40.4816|-75.6367
Alcalde|36.0843|-106.0572
Alcester|43.0089|-96.643
Alcoa|35.7893|-83.9805
Alcolu|33.782|-80.1418
Alcova|42.4525|-107.1897
Alcove|42.4864|-73.9329
Alda|40.8677|-98.457
Alden|42.5094|-93.3895
Alden|42.4549|-88.5301
Alden|38.2247|-98.318
Alden|44.8753|-85.2392
Alden|43.6918|-93.6014
Alden|42.8949|-78.5125
Alder|45.3907|-112.1566
Alder Creek|43.4217|-75.2183
Alderpoint|40.1794|-123.6153
Alderson|34.8919|-95.8015
Alderson|37.7301|-80.6454
Aldie|38.9606|-77.6056
Aldrich|46.5084|-94.9548
Aldrich|37.5262|-93.552
Aledo|41.2024|-90.7448
Aledo|32.7014|-97.6196
Aleknagik|59.199|-158.5804
Aleppo|39.7734|-80.5075
Alex|34.984|-97.7931
Alexander|34.6478|-92.4964
Alexander|42.8059|-93.4581
Alexander|39.75|-90.0465
Alexander|38.4697|-99.5517
Alexander|35.7048|-82.638
Alexander|47.8193|-103.5438
Alexander|42.9227|-78.2511
Alexander City|32.9305140523|-85.9385820261
Alexandria|33.7675|-85.8907
Alexandria|40.2533|-85.6681
Alexandria|38.9355|-84.3912
Alexandria|31.2913325004|-92.4677527394
Alexandria|45.8888|-95.38
Alexandria|40.3592|-91.46
Alexandria|40.2482|-97.3528
Alexandria|40.0875|-82.6093
Alexandria|40.5592|-78.0984
Alexandria|43.6592|-97.7603
Alexandria|36.073|-86.018
Alexandria|38.8016139456|-77.0862288389
Alexandria Bay|44.3285|-75.9223
Alexis|41.0651|-90.5673
Alexis|35.4055|-81.0939
Alford|30.6435|-85.3796
Alfred|43.4889|-70.6643
Alfred|42.255|-77.79
Alfred Station|42.2526|-77.7796
Alger|44.1421|-84.1617
Alger|40.6939|-83.8234
Algodones|35.3621|-106.4815
Algoma|34.1741|-89.033
Algoma|44.6107|-87.4553
Algona|43.0713|-94.2273
Algonac|42.628|-82.5572
Algonquin|42.1626|-88.2993
Alhambra|34.0865979362|-118.134392834
Alhambra|38.8819|-89.7424
Alice|27.7432610865|-98.0814486519
Aliceville|33.1187|-88.1668
Alicia|35.9433|-91.0804
Alief|29.7002|-95.5856
Aline|36.5281|-98.4083
Aliquippa|40.6016|-80.2834
Aliso Viejo|33.57975625|-117.726338672
Alix|35.427|-93.7305
Alkol|38.1515|-81.9504
Allakaket|67.0788|-152.888
Allamuchy|40.9179|-74.8287
Allardt|36.3854|-84.772
Alledonia|39.8878|-80.9741
Alleene|33.7735|-94.2593
Allegan|42.5267|-85.8589
Allegany|42.1054|-78.5066
Allegany|43.4074|-124.0475
